internship_id,title,company,domain,location,duration,stipend,required_skills,description,application_deadline,positions_available,company_size,industry,remote_work,experience_level,created_at,is_active
INT_00021,Consulting Intern,Meta,Consulting,Ludhiana,4,58919,"adobe xd,ui/ux design,flutter",Exciting internship opportunity at Meta in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,19,large,Finance,hybrid,entry,2025-03-13 11:53:44.431896,True
INT_00022,Business Analysis Intern,Groww,Business Analysis,Hyderabad,6,51758,"deep learning,strategy,figma","Analyze business processes and requirements at Groww. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,9,large,Technology,hybrid,entry,2024-12-12 01:39:38.668951,False
INT_00023,Web Development Intern,Simplilearn,Web Development,Nashik,4,24087,"java,react","Develop responsive web applications using modern frameworks at Simplilearn. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,2,mid,Automotive,hybrid,intermediate,2025-07-11 16:43:30.556059,True
INT_00024,DevOps Intern,Viacom18,DevOps,Surat,3,50145,"python,docker,aws","Learn cloud infrastructure and deployment automation at Viacom18. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,2,startup,Telecommunications,hybrid,entry,2024-10-25 09:41:56.235005,True
INT_00025,Product Management Intern,Goldman Sachs,Product Management,Nashik,8,62354,"android,postgresql,business analysis",Exciting internship opportunity at Goldman Sachs in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,21,large,Non-profit,hybrid,entry,2025-06-23 19:29:30.108967,True
INT_00026,Artificial Intelligence Intern,Viacom18,Artificial Intelligence,Nagpur,4,39708,"machine learning,sql,statistics",Exciting internship opportunity at Viacom18 in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,4,mid,Technology,hybrid,advanced,2025-01-30 12:43:52.229820,True
INT_00027,UI/UX Design Intern,Deloitte,UI/UX Design,Lucknow,6,45984,"sketch,photoshop","Design intuitive user experiences for Deloitte's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,3,startup,Healthcare,no,entry,2024-10-11 20:20:38.875856,True
INT_00028,Artificial Intelligence Intern,Simplilearn,Artificial Intelligence,Thane,6,38044,"statistics,r",Exciting internship opportunity at Simplilearn in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Telecommunications,yes,intermediate,2025-05-05 12:54:23.431317,True
INT_00029,Business Analysis Intern,Morgan Stanley,Business Analysis,Bhopal,6,49084,"project management,investment banking","Analyze business processes and requirements at Morgan Stanley. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,2,startup,Media & Entertainment,hybrid,entry,2025-05-25 00:32:03.710156,True
INT_00030,Data Science Intern,Google,Data Science,Lucknow,3,66922,"machine learning,statistics","Work with Google's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,6,large,Real Estate,yes,entry,2024-12-15 03:46:45.962452,True
INT_00031,Graphic Design Intern,ICICI Bank,Graphic Design,Surat,6,31892,"illustrator,photoshop",Exciting internship opportunity at ICICI Bank in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Consulting,yes,entry,2025-06-26 12:40:41.310007,True
INT_00032,Software Development Intern,Amazon,Software Development,Mumbai,3,59921,"java,react,sql",Join Amazon as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,8,large,E-commerce,no,entry,2025-08-16 21:42:06.344386,True
INT_00033,Operations Intern,Uber,Operations,Pune,6,54020,"seo,sql",Exciting internship opportunity at Uber in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Gaming,no,entry,2025-01-19 00:56:15.217648,True
INT_00034,Digital Marketing Intern,Deloitte,Digital Marketing,Ludhiana,2,44362,"content writing,social media","Drive digital marketing campaigns for Deloitte. Learn SEO, social media marketing, content creation, and analytics tools.",2025-09-23,20,large,Telecommunications,no,intermediate,2025-03-11 11:16:28.942794,True
INT_00035,Quality Assurance Intern,PwC,Quality Assurance,Ghaziabad,4,18011,"finance,strategy",Exciting internship opportunity at PwC in Quality Assurance. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Travel & Tourism,yes,entry,2025-07-26 18:18:19.413317,True
INT_00036,Software Development Intern,EY,Software Development,Patna,6,24123,"java,nodejs",Join EY as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,15,large,Media & Entertainment,no,advanced,2025-08-25 03:03:12.282984,True
INT_00037,Artificial Intelligence Intern,Salesforce,Artificial Intelligence,Kolkata,3,29187,"r,machine learning",Exciting internship opportunity at Salesforce in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,E-commerce,yes,entry,2025-03-24 11:40:40.089707,True
INT_00038,Artificial Intelligence Intern,Meesho,Artificial Intelligence,Mumbai,4,17797,"sql,data science,statistics",Exciting internship opportunity at Meesho in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,7,mid,Retail,hybrid,intermediate,2025-06-16 01:44:24.070028,True
INT_00039,Data Science Intern,Microsoft,Data Science,Pimpri-Chinchwad,8,56580,"data science,sql","Work with Microsoft's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,5,large,Non-profit,hybrid,entry,2025-06-11 01:47:37.079835,True
INT_00040,Consulting Intern,Hexaware,Consulting,Surat,8,40648,"python,react",Exciting internship opportunity at Hexaware in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Media & Entertainment,no,entry,2024-11-27 19:53:14.869676,False
INT_00041,Software Development Intern,Razorpay,Software Development,Thane,3,30951,"react,java",Join Razorpay as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,5,mid,Non-profit,no,entry,2025-01-01 01:23:31.607926,True
INT_00042,Artificial Intelligence Intern,PhonePe,Artificial Intelligence,Kolkata,6,33330,"r,sql,data science",Exciting internship opportunity at PhonePe in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,20,large,Fashion,hybrid,entry,2025-01-31 23:13:21.846733,True
INT_00043,Business Analysis Intern,Urban Company,Business Analysis,Visakhapatnam,4,21227,"python,vue,jira","Analyze business processes and requirements at Urban Company. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,1,startup,Technology,no,entry,2025-09-06 02:10:10.345176,True
INT_00044,Cybersecurity Intern,Hotstar,Cybersecurity,Mumbai,2,59181,"docker,web development",Exciting internship opportunity at Hotstar in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Food & Beverage,hybrid,intermediate,2025-08-29 21:35:37.520864,True
INT_00045,Human Resources Intern,Razorpay,Human Resources,Nagpur,2,64053,"statistics,trading",Exciting internship opportunity at Razorpay in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Telecommunications,yes,intermediate,2025-07-22 10:03:51.693001,True
INT_00046,Finance Intern,UpGrad,Finance,Ghaziabad,6,28551,"consulting,content writing,sketch",Exciting internship opportunity at UpGrad in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Consulting,yes,advanced,2025-07-21 12:18:57.202651,True
INT_00047,Operations Intern,Paytm,Operations,Delhi,6,21711,"content writing,figma",Exciting internship opportunity at Paytm in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,4,mid,Real Estate,yes,intermediate,2025-04-26 11:59:40.917594,False
INT_00048,Human Resources Intern,Axis Bank,Human Resources,Ludhiana,6,33505,"aws,agile,postgresql",Exciting internship opportunity at Axis Bank in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,5,mid,Technology,hybrid,intermediate,2025-05-08 09:18:41.090262,True
INT_00049,DevOps Intern,Accenture,DevOps,Mumbai,4,22842,"jenkins,linux,kubernetes","Learn cloud infrastructure and deployment automation at Accenture. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,1,startup,Travel & Tourism,yes,entry,2025-07-04 18:18:52.519201,True
INT_00050,Machine Learning Intern,Oracle,Machine Learning,Vadodara,8,39605,"machine learning,python",Exciting internship opportunity at Oracle in Machine Learning. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Non-profit,no,entry,2025-06-29 18:01:46.182441,True
INT_00051,Operations Intern,Hexaware,Operations,Ahmedabad,4,56228,"react,redis",Exciting internship opportunity at Hexaware in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Food & Beverage,hybrid,entry,2025-03-18 09:39:34.297278,True
INT_00052,Cloud Computing Intern,Microsoft,Cloud Computing,Kolkata,2,67975,"kubernetes,aws",Exciting internship opportunity at Microsoft in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,19,large,Retail,yes,entry,2025-08-01 05:20:22.194072,True
INT_00053,Content Writing Intern,Spotify,Content Writing,Nashik,3,55886,"content writing,seo",Exciting internship opportunity at Spotify in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,3,mid,E-commerce,yes,intermediate,2025-03-14 17:00:27.802289,True
INT_00054,Quality Assurance Intern,Capgemini,Quality Assurance,Agra,4,51710,"accounting,social media",Exciting internship opportunity at Capgemini in Quality Assurance. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Manufacturing,no,entry,2025-07-25 19:15:52.153562,True
INT_00055,Business Analysis Intern,Accenture,Business Analysis,Chennai,3,35793,"figma,ui/ux design,mongodb","Analyze business processes and requirements at Accenture. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,16,large,Travel & Tourism,hybrid,intermediate,2025-07-04 16:34:43.778169,True
INT_00056,Consulting Intern,JP Morgan,Consulting,Delhi,6,20154,"penetration testing,deep learning",Exciting internship opportunity at JP Morgan in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,4,mid,Media & Entertainment,yes,intermediate,2025-01-19 09:11:46.525495,True
INT_00057,Web Development Intern,Cure.fit,Web Development,Ludhiana,4,23663,"react,java,javascript","Develop responsive web applications using modern frameworks at Cure.fit. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,4,startup,E-commerce,yes,entry,2025-09-02 14:31:40.147567,False
INT_00058,Software Development Intern,Mphasis,Software Development,Thane,8,13736,"react,javascript,nodejs",Join Mphasis as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,3,startup,E-commerce,no,intermediate,2025-05-12 03:49:39.160443,True
INT_00059,Content Writing Intern,LinkedIn,Content Writing,Ludhiana,6,17417,"google analytics,content writing",Exciting internship opportunity at LinkedIn in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Education,yes,entry,2025-08-28 06:59:37.526216,True
INT_00060,Graphic Design Intern,Viacom18,Graphic Design,Patna,3,18290,"adobe xd,figma",Exciting internship opportunity at Viacom18 in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Travel & Tourism,no,intermediate,2025-04-01 13:00:00.724574,True
INT_00061,Cloud Computing Intern,Adobe,Cloud Computing,Nagpur,4,37683,"kubernetes,jenkins",Exciting internship opportunity at Adobe in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,14,large,Retail,hybrid,intermediate,2025-09-10 05:02:54.565676,False
INT_00062,Web Development Intern,Meesho,Web Development,Patna,6,25980,"python,react","Develop responsive web applications using modern frameworks at Meesho. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,2,startup,Finance,no,entry,2025-09-19 13:28:56.253327,True
INT_00063,Web Development Intern,Mphasis,Web Development,Ahmedabad,6,23832,"java,python,react","Develop responsive web applications using modern frameworks at Mphasis. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,9,mid,Travel & Tourism,no,entry,2025-08-21 16:22:08.467241,True
INT_00064,Business Analysis Intern,Razorpay,Business Analysis,Hyderabad,4,47882,"scrum,content writing,operations","Analyze business processes and requirements at Razorpay. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,23,large,Manufacturing,no,entry,2025-05-30 09:02:16.969620,True
INT_00065,Data Science Intern,Google,Data Science,Kanpur,3,36209,"python,machine learning,statistics","Work with Google's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,17,large,Healthcare,yes,advanced,2024-11-01 14:12:10.786257,True
INT_00066,Operations Intern,Times Group,Operations,Visakhapatnam,3,36084,"seo,docker",Exciting internship opportunity at Times Group in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,17,large,Retail,no,entry,2025-09-13 03:51:29.859515,True
INT_00067,Business Analysis Intern,Mphasis,Business Analysis,Lucknow,4,35633,"project management,web development,vue","Analyze business processes and requirements at Mphasis. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,4,mid,Fashion,hybrid,advanced,2025-09-13 14:30:12.261491,True
INT_00068,Software Development Intern,Goldman Sachs,Software Development,Ghaziabad,6,34431,"nodejs,sql",Join Goldman Sachs as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,7,mid,Technology,no,entry,2024-12-11 04:29:43.451631,True
INT_00069,Software Development Intern,Airbnb,Software Development,Ahmedabad,3,33027,"java,react,python",Join Airbnb as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,3,startup,Telecommunications,hybrid,entry,2025-06-09 03:32:41.592898,True
INT_00070,Web Development Intern,Spotify,Web Development,Delhi,3,25094,"python,java,nodejs","Develop responsive web applications using modern frameworks at Spotify. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,1,startup,Media & Entertainment,no,entry,2025-07-22 18:31:42.046249,True
INT_00071,Web Development Intern,Unacademy,Web Development,Bangalore,3,22007,"javascript,nodejs","Develop responsive web applications using modern frameworks at Unacademy. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,3,mid,Non-profit,no,intermediate,2024-10-24 00:42:32.003079,True
INT_00072,UI/UX Design Intern,LTI,UI/UX Design,Hyderabad,4,33010,"adobe xd,illustrator","Design intuitive user experiences for LTI's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,2,startup,Media & Entertainment,yes,entry,2024-09-23 08:10:06.302406,True
INT_00073,Software Development Intern,Network18,Software Development,Visakhapatnam,4,32573,"react,nodejs",Join Network18 as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,1,startup,Retail,no,intermediate,2025-02-24 02:53:07.168660,False
INT_00074,Cloud Computing Intern,Goldman Sachs,Cloud Computing,Surat,3,47860,"docker,kubernetes,jenkins",Exciting internship opportunity at Goldman Sachs in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Gaming,hybrid,entry,2025-05-05 16:45:21.091797,True
INT_00075,UI/UX Design Intern,Kotak Mahindra Bank,UI/UX Design,Agra,3,38738,"sketch,illustrator","Design intuitive user experiences for Kotak Mahindra Bank's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,18,large,Food & Beverage,hybrid,entry,2025-01-23 10:26:49.564045,True
INT_00076,Business Analysis Intern,Goldman Sachs,Business Analysis,Bhopal,8,26335,"penetration testing,react,devops","Analyze business processes and requirements at Goldman Sachs. Work with stakeholders, create documentation, and support project management activities.",2025-09-23,2,mid,Healthcare,no,advanced,2024-09-26 12:36:53.788810,True
INT_00077,Finance Intern,LTI,Finance,Chennai,4,42726,"cybersecurity,agile,python",Exciting internship opportunity at LTI in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,5,mid,Retail,yes,entry,2025-06-03 00:14:02.586902,True
INT_00078,Product Management Intern,Amazon,Product Management,Agra,4,81871,"azure,adobe xd,social media",Exciting internship opportunity at Amazon in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,7,large,Fashion,hybrid,entry,2024-12-02 12:13:44.212128,False
INT_00079,Product Management Intern,Meesho,Product Management,Bhopal,2,43664,"ethical hacking,business analysis,mongodb",Exciting internship opportunity at Meesho in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Media & Entertainment,hybrid,entry,2025-08-04 06:10:20.171466,True
INT_00080,Quality Assurance Intern,LinkedIn,Quality Assurance,Bhopal,3,32286,"digital marketing,ios,investment banking",Exciting internship opportunity at LinkedIn in Quality Assurance. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Education,no,intermediate,2024-10-20 11:14:27.310028,True
INT_00081,UI/UX Design Intern,Hotstar,UI/UX Design,Lucknow,2,20783,"adobe xd,sketch","Design intuitive user experiences for Hotstar's products. Work with design tools, conduct user research, and create wireframes and prototypes.",2025-09-23,9,mid,Non-profit,yes,intermediate,2025-06-24 03:29:43.997360,True
INT_00082,Graphic Design Intern,Microsoft,Graphic Design,Kolkata,4,61984,"adobe xd,illustrator",Exciting internship opportunity at Microsoft in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,21,large,Sports,no,entry,2025-08-27 13:12:36.905118,True
INT_00083,Software Development Intern,Mindtree,Software Development,Ahmedabad,4,57610,"javascript,java,python",Join Mindtree as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,16,large,Telecommunications,no,intermediate,2025-06-06 19:17:24.431692,True
INT_00084,Finance Intern,Meesho,Finance,Nagpur,2,52133,"ios,javascript",Exciting internship opportunity at Meesho in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,4,mid,Consulting,yes,intermediate,2024-12-12 13:03:21.271029,True
INT_00085,Quality Assurance Intern,Capgemini,Quality Assurance,Bangalore,4,31082,"operations,java",Exciting internship opportunity at Capgemini in Quality Assurance. Gain hands-on experience and work with industry professionals.,2025-09-23,22,large,Fashion,hybrid,intermediate,2025-06-09 14:04:35.937655,True
INT_00086,DevOps Intern,Byju's,DevOps,Kanpur,6,33337,"jenkins,python","Learn cloud infrastructure and deployment automation at Byju's. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,3,startup,Finance,no,entry,2025-05-06 02:56:00.231711,True
INT_00087,Graphic Design Intern,Zomato,Graphic Design,Pune,3,38973,"adobe xd,photoshop",Exciting internship opportunity at Zomato in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,7,mid,Telecommunications,no,entry,2024-11-30 16:09:42.161430,True
INT_00088,Cloud Computing Intern,Snapdeal,Cloud Computing,Ludhiana,6,23036,"kubernetes,aws",Exciting internship opportunity at Snapdeal in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Finance,yes,entry,2025-03-10 14:16:14.253991,True
INT_00089,Content Writing Intern,SBI,Content Writing,Jaipur,2,28772,"google analytics,social media",Exciting internship opportunity at SBI in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,E-commerce,no,advanced,2025-08-15 05:28:56.311716,True
INT_00090,Human Resources Intern,SBI,Human Resources,Delhi,3,15824,"strategy,content writing",Exciting internship opportunity at SBI in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,17,large,Manufacturing,hybrid,advanced,2024-11-25 13:03:07.580864,True
INT_00091,Human Resources Intern,Unacademy,Human Resources,Kanpur,6,48423,"scrum,nodejs",Exciting internship opportunity at Unacademy in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Education,no,entry,2025-01-16 11:45:17.307616,True
INT_00092,Artificial Intelligence Intern,McKinsey,Artificial Intelligence,Hyderabad,6,25994,"data science,sql",Exciting internship opportunity at McKinsey in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Real Estate,yes,intermediate,2025-04-17 00:55:15.356808,True
INT_00093,Operations Intern,Sony,Operations,Hyderabad,6,42671,"python,java",Exciting internship opportunity at Sony in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Automotive,yes,advanced,2025-06-18 14:07:31.877331,True
INT_00094,Data Science Intern,Amazon India,Data Science,Hyderabad,6,17716,"python,data science","Work with Amazon India's data science team to analyze large datasets, build predictive models, and derive actionable insights. Perfect opportunity to apply machine learning in real-world scenarios.",2025-09-23,1,startup,Gaming,no,intermediate,2025-03-02 06:58:40.848002,True
INT_00095,Human Resources Intern,Infosys,Human Resources,Pune,4,26956,"seo,data science",Exciting internship opportunity at Infosys in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,24,large,E-commerce,hybrid,entry,2024-11-03 11:03:08.371549,True
INT_00096,Mobile Development Intern,Meesho,Mobile Development,Surat,4,15998,"python,react","Create innovative mobile applications for Meesho. Work with iOS/Android development, learn mobile UI/UX principles, and contribute to app store releases.",2025-09-23,8,mid,E-commerce,no,entry,2025-06-22 12:01:36.074948,True
INT_00097,Cybersecurity Intern,ICICI Bank,Cybersecurity,Ghaziabad,3,27738,"postgresql,gcp",Exciting internship opportunity at ICICI Bank in Cybersecurity. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Fashion,yes,entry,2025-05-29 02:50:28.724998,True
INT_00098,Artificial Intelligence Intern,SBI,Artificial Intelligence,Ludhiana,2,45324,"statistics,sql,machine learning",Exciting internship opportunity at SBI in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,12,large,Finance,no,intermediate,2025-08-25 16:25:38.177869,True
INT_00099,Mobile Development Intern,Byju's,Mobile Development,Indore,4,25664,"react,javascript","Create innovative mobile applications for Byju's. Work with iOS/Android development, learn mobile UI/UX principles, and contribute to app store releases.",2025-09-23,3,mid,Healthcare,yes,entry,2025-03-01 12:21:21.046701,True
INT_00100,Consulting Intern,Paytm,Consulting,Hyderabad,4,49549,"statistics,accounting,penetration testing",Exciting internship opportunity at Paytm in Consulting. Gain hands-on experience and work with industry professionals.,2025-09-23,3,mid,Gaming,no,intermediate,2025-03-19 03:18:43.498080,True
INT_00101,Artificial Intelligence Intern,Kotak Mahindra Bank,Artificial Intelligence,Bangalore,6,14941,"python,r",Exciting internship opportunity at Kotak Mahindra Bank in Artificial Intelligence. Gain hands-on experience and work with industry professionals.,2025-09-23,8,mid,Automotive,yes,advanced,2025-01-12 06:48:17.218062,True
