internship_id,title,company,domain,description,required_skills,location,duration,stipend,is_active,application_deadline,is_accepting_applications,employee_count,headquarters,industry
INT_0036,Web Development Intern,Reliance Industries,mobile apps,"Exciting opportunity as a web development intern at Reliance Industries, working with docker, aws in the Infrastructure & Engineering sector.","python, python, machine learning",mumbai,2 months,0,True,2025-09-19,False,158,Kolkata,Media
INT_0037,Marketing Intern,Reliance Industries,ai/ml,"Exciting opportunity as a marketing intern at Reliance Industries, working with seo, digital marketing in the Banking & Finance sector.","node.js, react, node.js",delhi,2 months,20000,True,2025-11-08,True,177,Hyderabad,E-commerce
INT_0038,Marketing Intern,Tata Consultancy Services,mobile apps,"Exciting opportunity as a marketing intern at Tata Consultancy Services, working with react, css in the Banking & Finance sector.","node.js, sql",delhi,2 months,10000,True,2025-11-02,True,103,Bangalore,Consulting
INT_0039,Finance Intern,ONGC,data science,"Exciting opportunity as a finance intern at ONGC, working with content writing, digital marketing in the Infrastructure & Engineering sector.","python, react, react",pune,6 months,25000,True,2025-09-27,True,2963,Hyderabad,Manufacturing
INT_0040,Data Science Intern,State Bank of India,software development,"Exciting opportunity as a data science intern at State Bank of India, working with digital marketing, content writing in the Energy & Petrochemicals sector.","node.js, react",pune,6 months,0,True,2025-10-01,True,407,Kolkata,Consulting
INT_0041,Web Development Intern,Wipro,web development,"Exciting opportunity as a web development intern at Wipro, working with azure, aws in the Infrastructure & Engineering sector.","sql, machine learning",bangalore,3 months,0,True,2025-09-27,True,1808,Delhi,Automotive
INT_0042,Data Science Intern,ONGC,data science,"Exciting opportunity as a data science intern at ONGC, working with digital marketing, seo in the Energy & Exploration sector.","machine learning, react",hyderabad,3 months,15000,True,2025-10-11,True,44,Bangalore,Fintech
INT_0043,Marketing Intern,Larsen & Toubro,web development,"Exciting opportunity as a marketing intern at Larsen & Toubro, working with accounting, financial analysis in the Infrastructure & Engineering sector.","python, sql",delhi,2 months,15000,True,2025-10-12,True,109,Delhi,Consulting
INT_0044,Web Development Intern,Infosys,software development,"Exciting opportunity as a web development intern at Infosys, working with seo, digital marketing in the IT Services sector.","java, python, java",mumbai,6 months,25000,True,2025-09-24,True,2351,Hyderabad,Technology
INT_0045,Cloud Computing Intern,Larsen & Toubro,software development,"Exciting opportunity as a cloud computing intern at Larsen & Toubro, working with excel, financial analysis in the Banking & Finance sector.","node.js, java",chennai,6 months,30000,True,2025-09-23,True,1055,Chennai,Consulting
INT_0046,Data Science Intern,Reliance Industries,data science,"Exciting opportunity as a data science intern at Reliance Industries, working with aws, azure in the Energy & Exploration sector.","node.js, java",delhi,6 months,0,True,2025-11-04,True,69,Mumbai,Manufacturing
INT_0047,Marketing Intern,Infosys,software development,"Exciting opportunity as a marketing intern at Infosys, working with content writing, seo in the Energy & Petrochemicals sector.","node.js, java, sql",delhi,3 months,25000,True,2025-09-16,False,68,Hyderabad,Technology
INT_0048,Marketing Intern,Tata Consultancy Services,mobile apps,"Exciting opportunity as a marketing intern at Tata Consultancy Services, working with content writing, seo in the IT Services sector.","java, java, python",bangalore,3 months,15000,True,2025-10-17,True,196,Hyderabad,Education
INT_0049,Cloud Computing Intern,Reliance Industries,software development,"Exciting opportunity as a cloud computing intern at Reliance Industries, working with content writing, seo in the Infrastructure & Engineering sector.","python, python, sql",hyderabad,6 months,15000,True,2025-11-02,True,108,Bangalore,Consulting
INT_0050,Cloud Computing Intern,Tata Consultancy Services,web development,"Exciting opportunity as a cloud computing intern at Tata Consultancy Services, working with css, javascript in the Energy & Petrochemicals sector.","react, java, java",chennai,6 months,0,True,2025-11-14,True,486,Kolkata,Automotive
INT_0051,Marketing Intern,Reliance Industries,web development,"Exciting opportunity as a marketing intern at Reliance Industries, working with content writing, seo in the Energy & Exploration sector.","java, python",pune,6 months,20000,True,2025-11-12,True,49,Chennai,Technology
INT_0052,Data Science Intern,Wipro,web development,"Exciting opportunity as a data science intern at Wipro, working with docker, azure in the Energy & Petrochemicals sector.","react, machine learning, java",pune,3 months,10000,True,2025-11-01,True,38,Kolkata,Healthcare
INT_0053,Web Development Intern,Wipro,web development,"Exciting opportunity as a web development intern at Wipro, working with financial analysis, accounting in the Energy & Petrochemicals sector.","python, machine learning",mumbai,6 months,15000,False,2025-09-27,True,200,Bangalore,Healthcare
INT_0054,Web Development Intern,Tata Consultancy Services,mobile apps,"Exciting opportunity as a web development intern at Tata Consultancy Services, working with financial analysis, accounting in the IT Services sector.","machine learning, python",chennai,6 months,30000,True,2025-11-14,True,479,Hyderabad,Fintech
INT_0055,Web Development Intern,Infosys,ai/ml,"Exciting opportunity as a web development intern at Infosys, working with financial analysis, excel in the Energy & Exploration sector.","node.js, node.js, machine learning",pune,2 months,30000,True,2025-09-26,True,21,Kolkata,Fintech
INT_0056,Finance Intern,ICICI Bank,data science,"Exciting opportunity as a finance intern at ICICI Bank, working with python, machine learning in the IT Services sector.","machine learning, java",mumbai,2 months,15000,True,2025-10-18,True,141,Chennai,Education
INT_0057,Cloud Computing Intern,Wipro,web development,"Exciting opportunity as a cloud computing intern at Wipro, working with digital marketing, seo in the Infrastructure & Engineering sector.","node.js, sql, python",hyderabad,3 months,20000,True,2025-10-28,True,979,Chennai,Fintech
INT_0058,Data Science Intern,Reliance Industries,software development,"Exciting opportunity as a data science intern at Reliance Industries, working with python, machine learning in the Energy & Petrochemicals sector.","node.js, react, node.js",mumbai,6 months,20000,False,2025-10-09,True,55,Delhi,Education
INT_0059,Marketing Intern,Wipro,web development,"Exciting opportunity as a marketing intern at Wipro, working with python, sql in the IT Services sector.","java, node.js, python",pune,6 months,25000,True,2025-11-09,True,423,Hyderabad,Healthcare
INT_0060,Web Development Intern,Reliance Industries,software development,"Exciting opportunity as a web development intern at Reliance Industries, working with digital marketing, content writing in the Energy & Exploration sector.","java, node.js, node.js",bangalore,2 months,30000,True,2025-09-11,False,4491,Mumbai,Fintech
INT_0061,Data Science Intern,Tata Consultancy Services,software development,"Exciting opportunity as a data science intern at Tata Consultancy Services, working with accounting, excel in the IT Services sector.","machine learning, react",bangalore,3 months,25000,True,2025-11-07,True,13,Delhi,Media
INT_0062,Finance Intern,ICICI Bank,web development,"Exciting opportunity as a finance intern at ICICI Bank, working with css, javascript in the Energy & Petrochemicals sector.","react, machine learning",bangalore,2 months,30000,True,2025-11-14,True,3323,Chennai,Consulting
INT_0063,Cloud Computing Intern,Wipro,mobile apps,"Exciting opportunity as a cloud computing intern at Wipro, working with javascript, react in the Energy & Exploration sector.","machine learning, react, machine learning",pune,2 months,10000,True,2025-09-24,True,834,Delhi,Automotive
INT_0064,Data Science Intern,HDFC Bank,software development,"Exciting opportunity as a data science intern at HDFC Bank, working with content writing, seo in the IT Services sector.","react, machine learning, node.js",bangalore,2 months,10000,False,2025-10-17,True,178,Pune,Technology
INT_0065,Cloud Computing Intern,Larsen & Toubro,software development,"Exciting opportunity as a cloud computing intern at Larsen & Toubro, working with digital marketing, seo in the Banking & Finance sector.","sql, machine learning",chennai,2 months,0,True,2025-11-18,True,59,Kolkata,Education
INT_0066,Web Development Intern,HCL Technologies,web development,"Exciting opportunity as a web development intern at HCL Technologies, working with digital marketing, seo in the Infrastructure & Engineering sector.","react, java, machine learning",hyderabad,6 months,25000,True,2025-09-27,True,2028,Pune,Real Estate
INT_0067,Marketing Intern,ONGC,software development,"Exciting opportunity as a marketing intern at ONGC, working with accounting, excel in the Energy & Petrochemicals sector.","node.js, sql, python",mumbai,6 months,15000,False,2025-09-25,True,333,Hyderabad,E-commerce
INT_0068,Finance Intern,State Bank of India,software development,"Exciting opportunity as a finance intern at State Bank of India, working with excel, accounting in the Energy & Exploration sector.","sql, machine learning, java",mumbai,2 months,25000,True,2025-09-19,False,87,Mumbai,Consulting
INT_0069,Web Development Intern,Infosys,web development,"Exciting opportunity as a web development intern at Infosys, working with financial analysis, accounting in the IT Services sector.","java, react",pune,3 months,15000,True,2025-11-08,True,117,Delhi,Education
INT_0070,Marketing Intern,ICICI Bank,web development,"Exciting opportunity as a marketing intern at ICICI Bank, working with content writing, seo in the IT Services sector.","react, node.js, python",bangalore,3 months,20000,True,2025-10-22,True,1171,Bangalore,Education
INT_0071,Marketing Intern,State Bank of India,data science,"Exciting opportunity as a marketing intern at State Bank of India, working with seo, digital marketing in the IT Services sector.","react, python, java",bangalore,3 months,25000,False,2025-09-27,True,72,Kolkata,Healthcare
INT_0072,Marketing Intern,HDFC Bank,mobile apps,"Exciting opportunity as a marketing intern at HDFC Bank, working with seo, digital marketing in the Infrastructure & Engineering sector.","python, java, node.js",delhi,3 months,20000,True,2025-09-28,True,3165,Mumbai,Manufacturing
INT_0073,Web Development Intern,HDFC Bank,mobile apps,"Exciting opportunity as a web development intern at HDFC Bank, working with html, css in the Banking & Finance sector.","python, react, react",hyderabad,2 months,10000,True,2025-09-27,True,102,Bangalore,Real Estate
INT_0074,Marketing Intern,Larsen & Toubro,software development,"Exciting opportunity as a marketing intern at Larsen & Toubro, working with react, html in the Energy & Petrochemicals sector.","react, react",chennai,6 months,10000,True,2025-11-11,True,116,Chennai,Technology
INT_0075,Web Development Intern,Wipro,mobile apps,"Exciting opportunity as a web development intern at Wipro, working with machine learning, sql in the Energy & Exploration sector.","react, sql, machine learning",mumbai,3 months,0,True,2025-11-05,True,132,Kolkata,Fintech
INT_0076,Web Development Intern,HDFC Bank,software development,"Exciting opportunity as a web development intern at HDFC Bank, working with accounting, excel in the Banking & Finance sector.","sql, react, node.js",delhi,2 months,25000,True,2025-10-14,True,147,Delhi,Real Estate
INT_0077,Finance Intern,ONGC,data science,"Exciting opportunity as a finance intern at ONGC, working with content writing, seo in the IT Services sector.","react, node.js",delhi,3 months,20000,True,2025-10-30,True,154,Bangalore,Media
INT_0078,Finance Intern,Infosys,web development,"Exciting opportunity as a finance intern at Infosys, working with javascript, css in the Infrastructure & Engineering sector.","react, python, node.js",pune,3 months,15000,True,2025-10-02,True,64,Chennai,Consulting
INT_0079,Web Development Intern,ICICI Bank,web development,"Exciting opportunity as a web development intern at ICICI Bank, working with azure, aws in the Energy & Petrochemicals sector.","node.js, machine learning, react",mumbai,2 months,10000,True,2025-10-29,True,986,Mumbai,Real Estate
INT_0080,Cloud Computing Intern,Infosys,web development,"Exciting opportunity as a cloud computing intern at Infosys, working with css, javascript in the Energy & Exploration sector.","java, java, react",pune,6 months,10000,True,2025-10-07,True,12,Chennai,Real Estate
INT_0081,Marketing Intern,ICICI Bank,mobile apps,"Exciting opportunity as a marketing intern at ICICI Bank, working with accounting, excel in the Energy & Exploration sector.","machine learning, python",chennai,6 months,15000,True,2025-10-15,True,919,Bangalore,Education
INT_0082,Finance Intern,ICICI Bank,data science,"Exciting opportunity as a finance intern at ICICI Bank, working with css, html in the Infrastructure & Engineering sector.","node.js, react, java",delhi,2 months,20000,True,2025-10-27,True,109,Bangalore,Consulting
INT_0083,Finance Intern,ONGC,mobile apps,"Exciting opportunity as a finance intern at ONGC, working with content writing, seo in the Energy & Exploration sector.","node.js, react, machine learning",delhi,6 months,20000,True,2025-09-26,True,651,Delhi,E-commerce
INT_0084,Marketing Intern,HDFC Bank,mobile apps,"Exciting opportunity as a marketing intern at HDFC Bank, working with aws, azure in the Energy & Petrochemicals sector.","machine learning, java, java",hyderabad,2 months,25000,True,2025-11-18,True,962,Delhi,Education
INT_0085,Web Development Intern,Wipro,data science,"Exciting opportunity as a web development intern at Wipro, working with sql, machine learning in the Banking & Finance sector.","java, python",chennai,2 months,25000,True,2025-09-15,False,4798,Hyderabad,Media
INT_0086,Cloud Computing Intern,Larsen & Toubro,data science,"Exciting opportunity as a cloud computing intern at Larsen & Toubro, working with machine learning, sql in the IT Services sector.","react, react, machine learning",delhi,2 months,30000,True,2025-09-09,False,189,Delhi,Education
INT_0087,Finance Intern,ONGC,data science,"Exciting opportunity as a finance intern at ONGC, working with aws, azure in the IT Services sector.","java, python, machine learning",chennai,6 months,30000,True,2025-09-12,False,183,Kolkata,Media
INT_0088,Marketing Intern,Tata Consultancy Services,data science,"Exciting opportunity as a marketing intern at Tata Consultancy Services, working with python, machine learning in the IT Services sector.","sql, machine learning, machine learning",mumbai,2 months,0,False,2025-11-13,True,3682,Bangalore,Manufacturing
INT_0089,Data Science Intern,ICICI Bank,web development,"Exciting opportunity as a data science intern at ICICI Bank, working with css, html in the Energy & Exploration sector.","sql, machine learning, python",bangalore,3 months,10000,True,2025-11-02,True,4998,Bangalore,Healthcare
INT_0090,Cloud Computing Intern,Wipro,ai/ml,"Exciting opportunity as a cloud computing intern at Wipro, working with content writing, seo in the IT Services sector.","react, sql",delhi,6 months,25000,True,2025-11-18,True,310,Bangalore,Education
INT_0091,Marketing Intern,Tata Consultancy Services,ai/ml,"Exciting opportunity as a marketing intern at Tata Consultancy Services, working with seo, content writing in the Infrastructure & Engineering sector.","react, machine learning",hyderabad,6 months,20000,True,2025-10-09,True,89,Kolkata,Media
INT_0092,Web Development Intern,ONGC,data science,"Exciting opportunity as a web development intern at ONGC, working with sql, python in the Energy & Petrochemicals sector.","python, python",mumbai,6 months,15000,False,2025-09-14,False,218,Chennai,Media
INT_0093,Marketing Intern,HDFC Bank,ai/ml,"Exciting opportunity as a marketing intern at HDFC Bank, working with javascript, react in the Energy & Exploration sector.","java, sql, machine learning",chennai,6 months,20000,True,2025-09-24,True,43,Kolkata,Consulting
INT_0094,Data Science Intern,Tata Consultancy Services,ai/ml,"Exciting opportunity as a data science intern at Tata Consultancy Services, working with python, sql in the Energy & Exploration sector.","react, machine learning",pune,3 months,10000,True,2025-10-09,True,115,Hyderabad,Fintech
INT_0095,Web Development Intern,Wipro,data science,"Exciting opportunity as a web development intern at Wipro, working with content writing, digital marketing in the Banking & Finance sector.","node.js, java",mumbai,6 months,30000,True,2025-09-23,True,185,Hyderabad,Technology
INT_0096,Marketing Intern,ICICI Bank,ai/ml,"Exciting opportunity as a marketing intern at ICICI Bank, working with accounting, financial analysis in the IT Services sector.","sql, java",delhi,6 months,20000,True,2025-11-10,True,79,Bangalore,Media
INT_0097,Marketing Intern,Infosys,mobile apps,"Exciting opportunity as a marketing intern at Infosys, working with react, html in the Energy & Petrochemicals sector.","python, java",chennai,2 months,0,False,2025-11-17,True,669,Delhi,Fintech
INT_0098,Cloud Computing Intern,ICICI Bank,software development,"Exciting opportunity as a cloud computing intern at ICICI Bank, working with aws, docker in the Banking & Finance sector.","react, java, java",bangalore,6 months,10000,True,2025-09-23,True,41,Chennai,Healthcare
INT_0099,Finance Intern,HCL Technologies,software development,"Exciting opportunity as a finance intern at HCL Technologies, working with react, css in the Banking & Finance sector.","node.js, java, sql",mumbai,3 months,30000,True,2025-10-31,True,40,Bangalore,Healthcare
INT_0100,Finance Intern,Wipro,data science,"Exciting opportunity as a finance intern at Wipro, working with machine learning, sql in the Energy & Exploration sector.","machine learning, java",delhi,3 months,15000,True,2025-09-28,True,55,Delhi,Fintech
INT_0101,Marketing Intern,ONGC,web development,"Exciting opportunity as a marketing intern at ONGC, working with aws, azure in the Banking & Finance sector.","java, react",hyderabad,3 months,30000,False,2025-09-25,True,166,Hyderabad,Automotive
INT_0102,Marketing Intern,Infosys,data science,"Exciting opportunity as a marketing intern at Infosys, working with html, javascript in the Energy & Petrochemicals sector.","react, machine learning",pune,3 months,0,False,2025-10-31,True,17,Delhi,E-commerce
INT_0103,Web Development Intern,Reliance Industries,web development,"Exciting opportunity as a web development intern at Reliance Industries, working with excel, accounting in the IT Services sector.","react, react",chennai,6 months,10000,True,2025-10-14,True,4659,Kolkata,Consulting
INT_0104,Web Development Intern,HCL Technologies,software development,"Exciting opportunity as a web development intern at HCL Technologies, working with react, html in the Energy & Petrochemicals sector.","machine learning, java",mumbai,6 months,15000,False,2025-09-23,True,17,Bangalore,Automotive
INT_0105,Data Science Intern,Larsen & Toubro,data science,"Exciting opportunity as a data science intern at Larsen & Toubro, working with seo, digital marketing in the Infrastructure & Engineering sector.","python, sql",mumbai,3 months,0,False,2025-11-16,True,22,Chennai,Automotive
INT_0106,Cloud Computing Intern,State Bank of India,mobile apps,"Exciting opportunity as a cloud computing intern at State Bank of India, working with accounting, excel in the Energy & Exploration sector.","sql, machine learning",bangalore,3 months,30000,True,2025-08-22,False,130,Bangalore,Education
INT_0107,Cloud Computing Intern,ONGC,ai/ml,"Exciting opportunity as a cloud computing intern at ONGC, working with css, react in the IT Services sector.","python, node.js, react",bangalore,6 months,0,True,2025-09-10,False,30,Mumbai,Consulting
INT_0108,Finance Intern,HDFC Bank,web development,"Exciting opportunity as a finance intern at HDFC Bank, working with azure, docker in the Banking & Finance sector.","python, react, python",hyderabad,3 months,10000,True,2025-09-23,True,3186,Delhi,E-commerce
INT_0109,Finance Intern,Tata Consultancy Services,ai/ml,"Exciting opportunity as a finance intern at Tata Consultancy Services, working with financial analysis, accounting in the Energy & Exploration sector.","python, node.js",pune,2 months,25000,False,2025-10-29,True,4522,Pune,Consulting
INT_0110,Marketing Intern,Reliance Industries,ai/ml,"Exciting opportunity as a marketing intern at Reliance Industries, working with javascript, html in the Energy & Exploration sector.","python, node.js",hyderabad,3 months,0,True,2025-09-27,True,863,Kolkata,Automotive
INT_0111,Finance Intern,Infosys,data science,"Exciting opportunity as a finance intern at Infosys, working with seo, digital marketing in the Infrastructure & Engineering sector.","python, node.js, react",delhi,3 months,0,False,2025-10-16,True,150,Chennai,Manufacturing
INT_0112,Web Development Intern,State Bank of India,ai/ml,"Exciting opportunity as a web development intern at State Bank of India, working with html, css in the Banking & Finance sector.","sql, python",delhi,2 months,30000,True,2025-09-28,True,2470,Delhi,Healthcare
INT_0113,Data Science Intern,Wipro,mobile apps,"Exciting opportunity as a data science intern at Wipro, working with javascript, css in the Infrastructure & Engineering sector.","machine learning, react, python",hyderabad,2 months,30000,True,2025-10-20,True,17,Mumbai,Consulting
INT_0114,Cloud Computing Intern,Reliance Industries,ai/ml,"Exciting opportunity as a cloud computing intern at Reliance Industries, working with aws, azure in the Infrastructure & Engineering sector.","machine learning, python",pune,6 months,15000,True,2025-09-01,False,34,Mumbai,Healthcare
INT_0115,Cloud Computing Intern,Infosys,data science,"Exciting opportunity as a cloud computing intern at Infosys, working with financial analysis, accounting in the Energy & Exploration sector.","machine learning, node.js",hyderabad,6 months,30000,True,2025-11-09,True,29,Bangalore,Consulting
INT_0116,Marketing Intern,HCL Technologies,mobile apps,"Exciting opportunity as a marketing intern at HCL Technologies, working with financial analysis, excel in the Banking & Finance sector.","machine learning, sql",pune,2 months,20000,False,2025-08-27,False,702,Pune,Technology
INT_0117,Web Development Intern,HCL Technologies,software development,"Exciting opportunity as a web development intern at HCL Technologies, working with azure, aws in the Energy & Petrochemicals sector.","react, react, sql",pune,2 months,10000,False,2025-10-12,True,194,Kolkata,Education
INT_0118,Finance Intern,Infosys,ai/ml,"Exciting opportunity as a finance intern at Infosys, working with javascript, html in the Banking & Finance sector.","python, machine learning, sql",chennai,6 months,10000,False,2025-09-23,True,3109,Chennai,E-commerce
INT_0119,Cloud Computing Intern,Tata Consultancy Services,data science,"Exciting opportunity as a cloud computing intern at Tata Consultancy Services, working with aws, docker in the IT Services sector.","machine learning, react",pune,3 months,25000,True,2025-10-25,True,96,Pune,Manufacturing
INT_0120,Finance Intern,Infosys,software development,"Exciting opportunity as a finance intern at Infosys, working with react, javascript in the Infrastructure & Engineering sector.","python, react",bangalore,2 months,25000,True,2025-10-16,True,589,Mumbai,Healthcare
